amp,frequency,phase,const,period,e_amp,e_frequency,e_phase,tic,stopcrit
6.192210920907612,2.0182627055052937,-0.40738984203158,0.0,0.495475637176598,0.0939733997756702,2.3435646462818344e-05,0.0151760657018925,141479660,15.069091478987431
5.860187603990407,8.285027224310873,0.0106358212647119,0.0,0.1206996637338361,0.0939733997756702,2.4763450553490363e-05,0.0160359029652362,141479660,27.943841447695103
5.6910628927421785,2.1494036763566977,0.4920714672930279,0.0,0.4652453194343788,0.0939733997756702,2.5499360787360725e-05,0.0165124514606075,141479660,16.110353890731936
5.599013344505613,2.080472881991624,0.2552695303640949,0.0,0.4806599541171169,0.0939733997756702,2.591857833452037e-05,0.0167839213792707,141479660,15.781059185108424
4.797327302002106,18.628697592630463,0.4760991393885477,0.0,0.0536806180371729,0.0939733997756702,3.0249857228842853e-05,0.0195886988441358,141479660,34.903894827640336
4.715605704104171,2.5143408769556106,-0.4218761404164117,0.0,0.3977185469023636,0.0939733997756702,3.077408822355344e-05,0.0199281716225513,141479660,19.02615516788862
4.406921841435201,2.225597290623226,-0.4554901848961044,0.0,0.4493175850874502,0.0939733997756702,3.292966637192116e-05,0.0213240450266451,141479660,18.36183108290213
3.840367778818609,1.9621120562873184,0.159325272784619,0.0,0.5096548878519132,0.0939733997756702,3.778764803881247e-05,0.0244698959026728,141479660,18.88032894202151
3.199420113520488,19.920091338082333,0.3580116120889805,0.0,0.05020057303092,0.0939733997756702,4.535774009556757e-05,0.0293720100647446,141479660,34.43639820142417
3.1856758276972794,7.588581782932716,0.407162291072884,0.0,0.1317769286283603,0.0939733997756702,4.55534316153224e-05,0.0294987327205849,141479660,17.965763970913265
3.017141667904709,1.8640201786282733,-0.0219511947516571,0.0,0.5364748791163284,0.0939733997756702,4.809799536737461e-05,0.031146498944788,141479660,17.608061309345906
2.9745949033010315,2.3103345991388773,-0.4977069425465007,0.0,0.4328377371713718,0.0939733997756702,4.878595932661271e-05,0.0315919991900019,141479660,23.16278990889103
2.286578062681442,0.2791158783119332,0.180309962324777,0.0,3.582741354766008,0.0939733997756702,6.346534515222934e-05,0.0410978314317722,141479660,10.795184244049905
1.8866212859976337,9.675454380696024,0.033528199886266,0.0,0.1033543191516823,0.0939733997756702,7.691976500140879e-05,0.0498104206038244,141479660,18.428349556767824
1.8010394847804372,0.3210699477940535,0.2185386724102225,0.0,3.1145861108166937,0.0939733997756702,8.057483869282568e-05,0.0521773123631025,141479660,8.807997711417107
1.7480942163981756,9.001232880349253,0.1040994066749811,0.0,0.1110958924508127,0.0939733997756702,8.301524288810927e-05,0.0537576286759278,141479660,12.878350683712744
1.55728409880284,2.827761279501806,-0.3423759524216737,0.0,0.3536366408469175,0.0939733997756702,9.318689253756154e-05,0.0603444161845048,141479660,14.922363784486375
1.4244752327690309,17.720707517978877,-0.1192736911972835,0.0,0.0564311554143891,0.0939733997756702,0.0001018750362429,0.0659705396161895,141479660,20.905681798163585
1.3531288336703156,7.706868231670861,0.0503367773718871,0.0,0.1297543917892052,0.0939733997756702,0.0001072465994032,0.0694489670438627,141479660,8.763379543679898
1.2798072569991166,8.216255801219988,0.0321430431250365,0.0,0.1217099399280527,0.0939733997756702,0.0001133908759869,0.0734277753636265,141479660,9.355161630722716
1.1894972796266683,17.744644172292762,0.4055403081767297,0.0,0.0563550325546365,0.0939733997756702,0.0001219998300552,0.0790026184886815,141479660,21.435421671689767
1.1515194740725463,2.941792509040385,-0.3891297123421569,0.0,0.3399288008678086,0.0939733997756702,0.0001260234579032,0.0816081724118109,141479660,12.5850702429641
